SongTitle,Artist
See You Again,Wiz Khalifa ft. Charlie Puth
Sorry,Justin Bieber
Uptown Funk,Mark Ronson ft. Bruno Mars
Blank Space,Taylor Swift
Shake It Off,Taylor Swift
Lean On,Major Lazer & Dj Shake ft. Mo
Hello, Adele
Sugar,Maroon 5
Roar,Kary Perry
All About That Bass,Meghan Trainor
